"number","title","pageid","namespace","length","touched"
"1","Boomerang","4359","","39289","20171029190027"
"2","Chariots_of_Fire","5729","","56646","20171103072332"
"3","Cycling","5931","","54887","20171031110955"
"4","Cheerleading","6749","","73813","20171027193802"
"5","Extreme_sport","9933","","23812","20171028165341"
"6","Fantasy_sport","10653","","50655","20171020201431"
"7","Gladiator","12336","","112974","20171101075032"
"8","Gymnastics","12551","","45480","20171030085107"
"9","Lacrosse","18080","","62729","20171102142952"
"10","Munich_massacre","20989","","84743","20171023011805"
"11","Physical_therapy","24022","","60686","20171030093652"
"12","Shooting_sports","28498","","50932","20171103151255"
"13","Sabermetrics","28692","","22434","20171008102253"
"14","Mercy_rule","28695","","16750","20171022133218"
"15","Tennis_court","30311","","13745","20171005113741"
"16","Turners","31500","","10829","20171022122814"
"17","Volleyball","32558","","60826","20171023065029"
"18","World_cup_competition","33727","","3963","20171014063235"
"19","Yoga","34258","","138537","20171101043452"
"20","Disabled_sports","37686","","18699","20171019001244"
"21","Winter_sport","38950","","8743","20171016070450"
"22","Boardsport","38983","","10931","20171028165341"
"23","Commonwealth_Games","39173","","126220","20171029224944"
"24","Nordic_combined","40055","","6064","20171007095738"
"25","Pigeon_sport","40616","","825","20171009011836"
"26","List_of_sports_history_organisations","40671","","1088","20171005091849"
"27","Jumping","43609","","10457","20171007144626"
"28","Weight_training","44574","","40559","20171031205350"
"29","Parachute","48339","","51680","20171103032043"
"30","Eventing","48931","","56410","20171013062328"
"31","Racing","50857","","10150","20171029094801"
"32","Racket_(sports_equipment)","52664","","17272","20171008180107"
"33","Hockey_puck","53347","","17438","20171101015402"
"34","Multi-sport_event","53900","","14714","20171008123124"
"35","Football_War","57596","","18176","20171028023406"
"36","Stanley_Cup","66968","","66538","20171027020736"
"37","Equestrianism","74700","","60033","20171031032751"
"38","Glasses","74844","","43823","20171102062106"
"39","U.S._Open","82726","","2179","20171023072337"
"40","Goalkeeper","86314","","22972","20171020090852"
"41","Go_professional","102243","","8820","20171025162931"
"42","Countryside_Alliance","142926","","14204","20171012112349"
"43","Leotard","153182","","10934","20171008234913"
"44","Skin-tight_garment","153857","","10614","20171008051649"
"45","Sled","153862","","10150","20171017124301"
"46","List_of_dancewear","153873","","868","20171007202251"
"47","Athlete","154164","","5579","20171029044618"
"48","Mascot","159908","","20617","20171017075203"
"49","Tights","162834","","8521","20171015184539"
"50","Aerobics","166394","","9125","20171026170017"
"51","Cowboy","167744","","92813","20171023001424"
"52","Sociology_of_sport","169906","","12498","20171020082831"
"53","1903_in_sports","171775","","14010","20171028115213"
"54","1980_in_sports","171777","","14230","20171103113902"
"55","1979_in_sports","171779","","13263","20171028140956"
"56","1978_in_sports","171780","","14279","20171028140959"
"57","1977_in_sports","171781","","11281","20171028141002"
"58","1976_in_sports","171783","","11482","20171028141004"
"59","1975_in_sports","171784","","13327","20171028141006"
"60","1974_in_sports","171795","","13068","20171028115524"
"61","1973_in_sports","171796","","11414","20171028115521"
"62","1972_in_sports","171798","","10654","20171028115519"
"63","1971_in_sports","171799","","12226","20171028141010"
"64","1970_in_sports","171803","","13375","20171028115515"
"65","Wetsuit","177213","","43768","20171102122707"
"66","Stadium","185604","","36928","20171102005920"
"67","1918_in_sports","186711","","7245","20171028141159"
"68","Calisthenics","189023","","10401","20171028043230"
"69","Volksmarching","189030","","4009","20171004030613"
"70","Physical_exercise","189037","","92084","20171103133345"
"71","1902_in_sports","189260","","12097","20171028141216"
"72","1901_in_sports","189262","","12954","20171028115208"
"73","1900_in_sports","189263","","12939","20171101135352"
"74","1904_in_sports","189264","","12948","20171028115216"
"75","1905_in_sports","189265","","13267","20171028115218"
"76","1906_in_sports","189266","","12139","20171028115221"
"77","1907_in_sports","189267","","10949","20171028115223"
"78","1908_in_sports","189272","","12544","20171028141211"
"79","1909_in_sports","189273","","11864","20171028141209"
"80","Shorts","193243","","42340","20171027213600"
"81","2004_in_sports","195345","","30863","20171028140907"
"82","1895_in_sports","196704","","14070","20171028115153"
"83","1896_in_sports","196710","","9215","20171028115155"
"84","1962_in_sports","197637","","10598","20171028141030"
"85","1938_in_sports","198141","","14038","20171028141122"
"86","1922_in_sports","205539","","11545","20171028141151"
"87","1930_in_sports","205824","","13395","20171031185240"
"88","1981_in_sports","208630","","13539","20171028140953"
"89","2001_in_sports","208632","","23611","20171028140915"
"90","Physical_education","217324","","26447","20171027113205"
"91","2002_in_sports","218576","","21988","20171028140913"
"92","Swimsuit","223338","","27940","20171015130542"
"93","2000_in_sports","224719","","24013","20171028140918"
"94","1999_in_sports","224723","","25915","20171028140921"
"95","1998_in_sports","224724","","20011","20171028140924"
"96","1997_in_sports","224725","","21039","20171028115616"
"97","1996_in_sports","224726","","19453","20171028140927"
"98","1995_in_sports","224727","","19325","20171028140931"
"99","1994_in_sports","224728","","20284","20171028115610"
"100","1993_in_sports","224732","","18598","20171028115608"
"101","1992_in_sports","224733","","21078","20171028115606"
"102","1991_in_sports","224735","","17719","20171028115604"
"103","1990_in_sports","224736","","13311","20171028115601"
"104","1989_in_sports","224738","","13957","20171028115559"
"105","1988_in_sports","224739","","13615","20171028140936"
"106","1987_in_sports","224740","","13788","20171028140939"
"107","1986_in_sports","224741","","14507","20171028140941"
"108","1985_in_sports","224742","","13247","20171028140944"
"109","1984_in_sports","224743","","15763","20171028140946"
"110","1983_in_sports","224744","","15472","20171028140949"
"111","1982_in_sports","224746","","13164","20171028140951"
"112","1951_in_sports","224800","","11484","20171028141054"
"113","1969_in_sports","225337","","13202","20171028141013"
"114","1839_in_sports","225338","","2983","20171029154701"
"115","1968_in_sports","225339","","12985","20171028141015"
"116","1967_in_sports","225340","","12255","20171028141018"
"117","1840_in_sports","225341","","1995","20171029154701"
"118","1841_in_sports","225342","","2481","20171029154701"
"119","1966_in_sports","225343","","12938","20171028141021"
"120","1842_in_sports","225344","","1583","20171029154701"
"121","1845_in_sports","225345","","3080","20171029154701"
"122","1846_in_sports","225346","","1893","20171029154701"
"123","1965_in_sports","225347","","11305","20171028141023"
"124","1849_in_sports","225348","","2363","20171029154701"
"125","1964_in_sports","225349","","13234","20171028141026"
"126","1852_in_sports","225350","","3251","20171028114951"
"127","1854_in_sports","225351","","3547","20171028114954"
"128","1856_in_sports","225352","","3330","20171028114957"
"129","1963_in_sports","225353","","9964","20171028141028"
"130","1857_in_sports","225354","","3194","20171028114958"
"131","1858_in_sports","225355","","2920","20171028115002"
"132","1961_in_sports","225357","","10502","20171028141032"
"133","1960_in_sports","225358","","11031","20171028141034"
"134","1959_in_sports","225359","","10766","20171028141036"
"135","1958_in_sports","225360","","12075","20171028141038"
"136","1957_in_sports","225364","","12134","20171028141041"
"137","1859_in_sports","225365","","5521","20171028115019"
"138","1956_in_sports","225366","","14043","20171028141042"
"139","1860_in_sports","225368","","4363","20171028115021"
"140","1955_in_sports","225369","","11933","20171028141045"
"141","1861_in_sports","225370","","2854","20171028115023"
"142","1862_in_sports","225371","","4353","20171028141253"
"143","1863_in_sports","225373","","5220","20171028141251"
"144","1864_in_sports","225374","","3688","20171028141249"
"145","1865_in_sports","225375","","3454","20171028141246"
"146","1866_in_sports","225376","","3453","20171028141244"
"147","1954_in_sports","225377","","14471","20171028141047"
"148","1867_in_sports","225378","","5410","20171028115032"
"149","1868_in_sports","225379","","4408","20171028115034"
"150","1869_in_sports","225381","","5076","20171028141241"
"151","1870_in_sports","225382","","5492","20171028115042"
"152","1953_in_sports","225383","","12267","20171028141050"
"153","1871_in_sports","225384","","8067","20171028115045"
"154","1952_in_sports","225385","","13849","20171028141052"
"155","1872_in_sports","225386","","4709","20171028115046"
"156","1873_in_sports","225387","","5477","20171028115048"
"157","1874_in_sports","225388","","4064","20171028115050"
"158","1875_in_sports","225389","","4248","20171028115051"
"159","1876_in_sports","225390","","6941","20171028115053"
"160","1877_in_sports","225391","","6507","20171028115055"
"161","1878_in_sports","225394","","7395","20171028115056"
"162","1950_in_sports","225395","","9323","20171028141056"
"163","1879_in_sports","226215","","5047","20171028115058"
"164","1880_in_sports","226216","","6212","20171028115059"
"165","1881_in_sports","226217","","6348","20171028115101"
